mountain,base_depth,region,new_snow,day,year_total
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,70 in.,Oregon,5 in.,"Jan  2, 2010",5 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,72 in.,Oregon,1 in.,"Jan  3, 2010",6 in.
Mt. Bachelor,88 in.,Oregon,3 in.,"Jan  1, 2009",3 in.
Mt. Bachelor,55 in.,Oregon,1 in.,"Jan 12, 2010",7 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,89 in.,Oregon,6 in.,"Jan  2, 2009",9 in.
Mt. Bachelor,58 in.,Oregon,6 in.,"Jan 13, 2010",13 in.
Mt. Bachelor,83 in.,Oregon,1 in.,"Jan  8, 2011",1 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,93 in.,Oregon,3 in.,"Jan  3, 2009",12 in.
Mt. Bachelor,61 in.,Oregon,2 in.,"Jan 14, 2010",15 in.
Mt. Bachelor,85 in.,Oregon,2 in.,"Jan  9, 2011",3 in.
Mt. Bachelor,39 in.,Oregon,1 in.,"Jan  5, 2012",1 in.
Mt. Bachelor,93 in.,Oregon,6 in.,"Jan  5, 2009",18 in.
Mt. Bachelor,64 in.,Oregon,4 in.,"Jan 16, 2010",19 in.
Mt. Bachelor,88 in.,Oregon,6 in.,"Jan 10, 2011",9 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,38 in.,Oregon,1 in.,"Jan  7, 2012",2 in.
Mt. Bachelor,99 in.,Oregon,2 in.,"Jan  6, 2009",20 in.
Mt. Bachelor,62 in.,Oregon,2 in.,"Jan 17, 2010",21 in.
Mt. Bachelor,86 in.,Oregon,1 in.,"Jan 12, 2011",10 in.
Mt. Bachelor,87 in.,Oregon,2 in.,"Jan  4, 2013",2 in.
Mt. Bachelor,39 in.,Oregon,2 in.,"Jan 15, 2012",4 in.
Mt. Bachelor,97 in.,Oregon,3 in.,"Jan  8, 2009",23 in.
Mt. Bachelor,65 in.,Oregon,4 in.,"Jan 18, 2010",25 in.
Mt. Bachelor,87 in.,Oregon,2 in.,"Jan 13, 2011",12 in.
Mt. Bachelor,85 in.,Oregon,4 in.,"Jan  5, 2013",6 in.
Mt. Bachelor,44 in.,Oregon,6 in.,"Jan 16, 2012",10 in.
Mt. Bachelor,98 in.,Oregon,5 in.,"Jan  9, 2009",28 in.
Mt. Bachelor,66 in.,Oregon,1 in.,"Jan 19, 2010",26 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,1 in.,"Jan 14, 2011",13 in.
Mt. Bachelor,86 in.,Oregon,4 in.,"Jan  6, 2013",10 in.
Mt. Bachelor,48 in.,Oregon,4 in.,"Jan 17, 2012",14 in.
Mt. Bachelor,88 in.,Oregon,1 in.,"Jan 26, 2009",29 in.
Mt. Bachelor,67 in.,Oregon,3 in.,"Jan 21, 2010",29 in.
Mt. Bachelor,85 in.,Oregon,3 in.,"Jan  3, 2016",3 in.
Mt. Bachelor,8 in.,Oregon,3 in.,"Jan  4, 2016",6 in.
Mt. Bachelor,26 in.,Oregon,10 in.,"Jan  6, 2014",10 in.
Mt. Bachelor,77 in.,Oregon,5 in.,"Jan 19, 2011",18 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,5 in.,"Jan  7, 2013",15 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,67 in.,Oregon,16 in.,"Jan 18, 2012",30 in.
Mt. Bachelor,92 in.,Oregon,2 in.,"Feb  6, 2009",31 in.
Mt. Bachelor,69 in.,Oregon,2 in.,"Jan 22, 2010",31 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,1 in.,"Jan  6, 2016",7 in.
Mt. Bachelor,86 in.,Oregon,3 in.,"Jan  7, 2016",10 in.
Mt. Bachelor,26 in.,Oregon,1 in.,"Jan  7, 2014",11 in.
Mt. Bachelor,71 in.,Oregon,1 in.,"Feb  5, 2011",19 in.
Cooper Spur,0 in.,Oregon,4 in.,"Dec 20, 2010",4 in.
Cooper Spur,0 in.,Oregon,1 in.,"Dec 21, 2010",5 in.
Mt. Bachelor,85 in.,Oregon,7 in.,"Jan  8, 2013",22 in.
Cooper Spur,24 in.,Oregon,8 in.,"Jan  2, 2009",8 in.
Cooper Spur,24 in.,Oregon,6 in.,"Jan  3, 2009",14 in.
Mt. Bachelor,91 in.,Oregon,35 in.,"Jan 19, 2012",65 in.
Mt. Bachelor,94 in.,Oregon,3 in.,"Feb  7, 2009",34 in.
Mt. Bachelor,68 in.,Oregon,2 in.,"Jan 23, 2010",33 in.
Mt. Bachelor,44 in.,Oregon,1 in.,"Jan 11, 2015",1 in.
Mt. Bachelor,85 in.,Oregon,2 in.,"Jan  9, 2016",12 in.
Mt. Bachelor,30 in.,Oregon,21 in.,"Jan  8, 2014",32 in.
Mt. Bachelor,74 in.,Oregon,4 in.,"Feb  8, 2011",23 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 29, 2010",11 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 30, 2010",17 in.
Mt. Bachelor,84 in.,Oregon,7 in.,"Jan  9, 2013",29 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Cooper Spur,29 in.,Oregon,3 in.,"Jan  5, 2009",17 in.
Cooper Spur,8 in.,Oregon,1 in.,"Jan  9, 2009",18 in.
Mt. Bachelor,96 in.,Oregon,19 in.,"Jan 20, 2012",84 in.
Mt. Bachelor,59 in.,Oregon,2 in.,"Feb  9, 2009",36 in.
Mt. Bachelor,79 in.,Oregon,4 in.,"Jan 26, 2010",37 in.
Mt. Bachelor,45 in.,Oregon,1 in.,"Jan 12, 2015",2 in.
Mt. Bachelor,85 in.,Oregon,1 in.,"Jan 11, 2016",13 in.
Mt. Bachelor,85 in.,Oregon,6 in.,"Jan 12, 2016",19 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,39 in.,Oregon,14 in.,"Jan  9, 2014",46 in.
Mt. Bachelor,76 in.,Oregon,3 in.,"Feb 13, 2011",26 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 31, 2010",23 in.
Mt. Bachelor,89 in.,Oregon,4 in.,"Jan 10, 2013",33 in.
Cooper Spur,10 in.,Oregon,1 in.,"Feb 27, 2011",1 in.
Cooper Spur,0 in.,Oregon,1 in.,"Mar  4, 2011",2 in.
Cooper Spur,8 in.,Oregon,1 in.,"Jan 10, 2009",19 in.
Cooper Spur,8 in.,Oregon,1 in.,"Jan 11, 2009",20 in.
Mt. Bachelor,99 in.,Oregon,8 in.,"Jan 21, 2012",92 in.
Mt. Bachelor,94 in.,Oregon,9 in.,"Feb 11, 2009",45 in.
Mt. Bachelor,79 in.,Oregon,6 in.,"Jan 30, 2010",43 in.
Mt. Bachelor,52 in.,Oregon,8 in.,"Jan 16, 2015",10 in.
Mt. Bachelor,88 in.,Oregon,2 in.,"Jan 13, 2016",21 in.
Mt. Bachelor,88 in.,Oregon,4 in.,"Jan 14, 2016",25 in.
Cooper Spur,12 in.,Oregon,4 in.,"Jan 16, 2012",4 in.
Cooper Spur,12 in.,Oregon,4 in.,"Jan 17, 2012",8 in.
Mount Ashland,33 in.,Oregon,3 in.,"Jan  2, 2009",3 in.
Mt. Bachelor,39 in.,Oregon,25 in.,"Jan 10, 2014",71 in.
Mt. Bachelor,95 in.,Oregon,20 in.,"Feb 15, 2011",46 in.
Mt. Bachelor,90 in.,Oregon,3 in.,"Jan 11, 2013",36 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Cooper Spur,14 in.,Oregon,4 in.,"Mar 19, 2011",6 in.
Cooper Spur,15 in.,Oregon,3 in.,"Mar 20, 2011",9 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Cooper Spur,5 in.,Oregon,2 in.,"Jan 26, 2009",22 in.
Mt. Bachelor,96 in.,Oregon,7 in.,"Jan 22, 2012",99 in.
Mt. Bachelor,59 in.,Oregon,2 in.,"Feb 12, 2009",47 in.
Mt. Bachelor,79 in.,Oregon,1 in.,"Jan 31, 2010",44 in.
Mt. Bachelor,42 in.,Oregon,1 in.,"Feb  3, 2015",11 in.
Mt. Bachelor,92 in.,Oregon,2 in.,"Jan 15, 2016",27 in.
Mt. Bachelor,94 in.,Oregon,8 in.,"Jan 16, 2016",35 in.
Cooper Spur,12 in.,Oregon,4 in.,"Jan 18, 2012",12 in.
Cooper Spur,10 in.,Oregon,4 in.,"Feb 18, 2012",16 in.
Mount Ashland,26 in.,Oregon,2 in.,"Jan  9, 2009",5 in.
Mt. Bachelor,45 in.,Oregon,20 in.,"Jan 11, 2014",91 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,105 in.,Oregon,15 in.,"Feb 16, 2011",61 in.
Mt. Bachelor,83 in.,Oregon,1 in.,"Jan 21, 2013",37 in.
Willamette Pass,53 in.,Oregon,3 in.,"Jan  1, 2009",3 in.
Cooper Spur,19 in.,Oregon,5 in.,"Mar 21, 2011",14 in.
Cooper Spur,19 in.,Oregon,1 in.,"Mar 24, 2011",15 in.
Willamette Pass,24 in.,Oregon,4 in.,"Jan  1, 2010",4 in.
Cooper Spur,7 in.,Oregon,2 in.,"Feb 11, 2009",24 in.
Cooper Spur,12 in.,Oregon,2 in.,"Feb 16, 2009",26 in.
Mt. Bachelor,97 in.,Oregon,6 in.,"Jan 23, 2012",105 in.
Mt. Bachelor,89 in.,Oregon,3 in.,"Feb 13, 2009",50 in.
Mt. Bachelor,82 in.,Oregon,5 in.,"Feb  2, 2010",49 in.
Mt. Bachelor,42 in.,Oregon,3 in.,"Feb  6, 2015",14 in.
Mt. Bachelor,97 in.,Oregon,8 in.,"Jan 17, 2016",43 in.
Mt. Bachelor,97 in.,Oregon,3 in.,"Jan 18, 2016",46 in.
Cooper Spur,10 in.,Oregon,2 in.,"Feb 20, 2012",18 in.
Cooper Spur,10 in.,Oregon,9 in.,"Feb 25, 2012",27 in.
Mount Ashland,27 in.,Oregon,4 in.,"Jan 25, 2009",9 in.
Mount Ashland,29 in.,Oregon,2 in.,"Jan 26, 2009",11 in.
Mt. Bachelor,54 in.,Oregon,4 in.,"Jan 27, 2014",95 in.
Willamette Pass,20 in.,Oregon,2 in.,"Feb 13, 2011",2 in.
Willamette Pass,20 in.,Oregon,10 in.,"Feb 17, 2011",12 in.
Willamette Pass,14 in.,Oregon,7 in.,"Jan  1, 2012",7 in.
Willamette Pass,38 in.,Oregon,1 in.,"Jan  9, 2013",1 in.
Willamette Pass,38 in.,Oregon,10 in.,"Jan 10, 2013",11 in.
Mt. Bachelor,110 in.,Oregon,10 in.,"Feb 17, 2011",71 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,82 in.,Oregon,2 in.,"Jan 22, 2013",39 in.
Willamette Pass,47 in.,Oregon,4 in.,"Jan  2, 2009",7 in.
Cooper Spur,20 in.,Oregon,4 in.,"Mar 26, 2011",19 in.
Cooper Spur,20 in.,Oregon,2 in.,"Mar 27, 2011",21 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan  3, 2010",6 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan 14, 2010",8 in.
Cooper Spur,12 in.,Oregon,2 in.,"Feb 18, 2009",28 in.
Cooper Spur,12 in.,Oregon,2 in.,"Feb 21, 2009",30 in.
Mt. Bachelor,95 in.,Oregon,1 in.,"Jan 24, 2012",106 in.
Mt. Bachelor,93 in.,Oregon,2 in.,"Feb 14, 2009",52 in.
Mt. Bachelor,80 in.,Oregon,2 in.,"Feb  4, 2010",51 in.
Mt. Bachelor,48 in.,Oregon,11 in.,"Feb  7, 2015",25 in.
Mt. Bachelor,105 in.,Oregon,9 in.,"Jan 19, 2016",55 in.
Mt. Bachelor,105 in.,Oregon,2 in.,"Jan 20, 2016",57 in.
Cooper Spur,10 in.,Oregon,8 in.,"Feb 26, 2012",35 in.
Cooper Spur,10 in.,Oregon,2 in.,"Feb 27, 2012",37 in.
Mount Ashland,29 in.,Oregon,1 in.,"Jan 27, 2009",12 in.
Mt. Bachelor,54 in.,Oregon,3 in.,"Jan 28, 2014",98 in.
Willamette Pass,37 in.,Oregon,12 in.,"Feb 18, 2011",24 in.
Willamette Pass,37 in.,Oregon,2 in.,"Feb 19, 2011",26 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,14 in.,Oregon,7 in.,"Jan  2, 2012",14 in.
Willamette Pass,14 in.,Oregon,1 in.,"Jan  6, 2012",15 in.
Willamette Pass,40 in.,Oregon,8 in.,"Jan 11, 2013",19 in.
Willamette Pass,40 in.,Oregon,1 in.,"Jan 24, 2013",20 in.
Mt. Bachelor,111 in.,Oregon,8 in.,"Feb 18, 2011",79 in.
Willamette Pass,12 in.,Oregon,6 in.,"Jan  9, 2014",6 in.
Willamette Pass,12 in.,Oregon,6 in.,"Jan 11, 2014",12 in.
Willamette Pass,18 in.,Oregon,1 in.,"Mar  1, 2015",1 in.
Willamette Pass,40 in.,Oregon,4 in.,"Dec 19, 2015",5 in.
Mt. Bachelor,82 in.,Oregon,4 in.,"Jan 23, 2013",43 in.
Willamette Pass,48 in.,Oregon,6 in.,"Jan  5, 2009",13 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan 18, 2010",10 in.
Cooper Spur,8 in.,Oregon,2 in.,"Feb 25, 2009",32 in.
Cooper Spur,15 in.,Oregon,12 in.,"Feb 27, 2009",44 in.
Mt. Bachelor,98 in.,Oregon,9 in.,"Jan 25, 2012",115 in.
Mt. Bachelor,99 in.,Oregon,4 in.,"Feb 15, 2009",56 in.
Mt. Bachelor,88 in.,Oregon,1 in.,"Feb  7, 2010",52 in.
Mt. Bachelor,49 in.,Oregon,2 in.,"Feb  8, 2015",27 in.
Mt. Bachelor,108 in.,Oregon,3 in.,"Jan 22, 2016",60 in.
Cooper Spur,10 in.,Oregon,2 in.,"Feb 28, 2012",39 in.
Cooper Spur,10 in.,Oregon,2 in.,"Feb 29, 2012",41 in.
Mount Ashland,28 in.,Oregon,2 in.,"Feb  6, 2009",14 in.
Mt. Bachelor,50 in.,Oregon,3 in.,"Jan 29, 2014",101 in.
Willamette Pass,37 in.,Oregon,2 in.,"Feb 21, 2011",28 in.
Willamette Pass,46 in.,Oregon,6 in.,"Feb 25, 2011",34 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,72 in.,Oregon,1 in.,"Jan  6, 2016",1 in.
Willamette Pass,72 in.,Oregon,2 in.,"Jan  9, 2016",3 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,14 in.,Oregon,1 in.,"Jan 15, 2012",16 in.
Willamette Pass,40 in.,Oregon,2 in.,"Jan 25, 2013",22 in.
Willamette Pass,35 in.,Oregon,3 in.,"Jan 26, 2013",25 in.
Mt. Bachelor,108 in.,Oregon,5 in.,"Feb 19, 2011",84 in.
Willamette Pass,12 in.,Oregon,18 in.,"Jan 12, 2014",30 in.
Willamette Pass,22 in.,Oregon,12 in.,"Feb  8, 2014",42 in.
Willamette Pass,40 in.,Oregon,2 in.,"Dec 20, 2015",7 in.
Willamette Pass,40 in.,Oregon,3 in.,"Dec 21, 2015",10 in.
Mt. Bachelor,83 in.,Oregon,6 in.,"Jan 24, 2013",49 in.
Willamette Pass,48 in.,Oregon,9 in.,"Jan  6, 2009",22 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan 19, 2010",12 in.
Willamette Pass,23 in.,Oregon,3 in.,"Jan 21, 2010",15 in.
Cooper Spur,15 in.,Oregon,2 in.,"Feb 28, 2009",46 in.
Cooper Spur,15 in.,Oregon,1 in.,"Mar  4, 2009",47 in.
Mt. Bachelor,102 in.,Oregon,7 in.,"Jan 26, 2012",122 in.
Mt. Bachelor,96 in.,Oregon,2 in.,"Feb 16, 2009",58 in.
Mt. Bachelor,87 in.,Oregon,5 in.,"Feb 11, 2010",57 in.
Mt. Bachelor,48 in.,Oregon,3 in.,"Feb  9, 2015",30 in.
Mt. Bachelor,108 in.,Oregon,3 in.,"Jan 23, 2016",63 in.
Mt. Bachelor,108 in.,Oregon,1 in.,"Jan 24, 2016",64 in.
Cooper Spur,10 in.,Oregon,8 in.,"Mar  1, 2012",49 in.
Cooper Spur,10 in.,Oregon,10 in.,"Mar  2, 2012",59 in.
Mount Ashland,32 in.,Oregon,2 in.,"Feb  9, 2009",16 in.
Mt. Bachelor,54 in.,Oregon,3 in.,"Feb  1, 2014",104 in.
Willamette Pass,42 in.,Oregon,1 in.,"Mar  4, 2011",35 in.
Willamette Pass,46 in.,Oregon,12 in.,"Mar  5, 2011",47 in.
Anthony Lakes Mountain Resort,45 in.,Oregon,6 in.,"Jan  1, 2009",6 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,5 in.,"Jan  3, 2009",11 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,8 in.,"Jan  1, 2010",8 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,72 in.,Oregon,4 in.,"Jan 14, 2016",7 in.
Willamette Pass,72 in.,Oregon,8 in.,"Jan 15, 2016",15 in.
Anthony Lakes Mountain Resort,24 in.,Oregon,3 in.,"Jan  9, 2011",3 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Jan 14, 2011",4 in.
Willamette Pass,14 in.,Oregon,7 in.,"Jan 16, 2012",23 in.
Willamette Pass,35 in.,Oregon,2 in.,"Jan 27, 2013",27 in.
Mt. Bachelor,108 in.,Oregon,2 in.,"Feb 20, 2011",86 in.
Willamette Pass,22 in.,Oregon,1 in.,"Feb  9, 2014",43 in.
Willamette Pass,24 in.,Oregon,4 in.,"Feb 15, 2014",47 in.
Willamette Pass,40 in.,Oregon,10 in.,"Dec 22, 2015",20 in.
Willamette Pass,50 in.,Oregon,26 in.,"Dec 23, 2015",46 in.
Mt. Bachelor,84 in.,Oregon,6 in.,"Jan 25, 2013",55 in.
Willamette Pass,45 in.,Oregon,2 in.,"Jan  7, 2009",24 in.
Willamette Pass,23 in.,Oregon,3 in.,"Jan 22, 2010",18 in.
Cooper Spur,15 in.,Oregon,1 in.,"Mar  5, 2009",48 in.
Cooper Spur,17 in.,Oregon,3 in.,"Mar  6, 2009",51 in.
Mt. Bachelor,101 in.,Oregon,1 in.,"Jan 27, 2012",123 in.
Mt. Bachelor,100 in.,Oregon,5 in.,"Feb 17, 2009",63 in.
Mt. Bachelor,87 in.,Oregon,2 in.,"Feb 12, 2010",59 in.
Mt. Bachelor,50 in.,Oregon,2 in.,"Feb 10, 2015",32 in.
Mt. Bachelor,102 in.,Oregon,2 in.,"Jan 28, 2016",66 in.
Mt. Bachelor,102 in.,Oregon,9 in.,"Jan 29, 2016",75 in.
Cooper Spur,24 in.,Oregon,18 in.,"Mar  3, 2012",77 in.
Cooper Spur,15 in.,Oregon,1 in.,"Mar 31, 2012",78 in.
Mount Ashland,32 in.,Oregon,2 in.,"Feb 10, 2009",18 in.
Mt. Bachelor,54 in.,Oregon,10 in.,"Feb  2, 2014",114 in.
Willamette Pass,46 in.,Oregon,4 in.,"Mar 10, 2011",51 in.
Willamette Pass,48 in.,Oregon,1 in.,"Mar 11, 2011",52 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,50 in.,Oregon,1 in.,"Jan  4, 2009",12 in.
Anthony Lakes Mountain Resort,61 in.,Oregon,3 in.,"Jan  9, 2009",15 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,8 in.,"Jan  2, 2010",16 in.
Anthony Lakes Mountain Resort,43 in.,Oregon,8 in.,"Jan  7, 2010",24 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,1 in.,"Jan 15, 2012",1 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 16, 2012",4 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,1 in.,"Jan  6, 2013",1 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,6 in.,"Jan  8, 2013",7 in.
Willamette Pass,72 in.,Oregon,5 in.,"Jan 16, 2016",20 in.
Willamette Pass,72 in.,Oregon,3 in.,"Jan 17, 2016",23 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Jan 26, 2011",5 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,3 in.,"Feb  6, 2011",8 in.
Willamette Pass,14 in.,Oregon,6 in.,"Jan 22, 2012",29 in.
Willamette Pass,42 in.,Oregon,14 in.,"Jan 30, 2013",41 in.
Willamette Pass,42 in.,Oregon,4 in.,"Feb  6, 2013",45 in.
Mt. Bachelor,106 in.,Oregon,2 in.,"Feb 21, 2011",88 in.
Willamette Pass,24 in.,Oregon,6 in.,"Feb 16, 2014",53 in.
Willamette Pass,26 in.,Oregon,5 in.,"Feb 18, 2014",58 in.
Willamette Pass,64 in.,Oregon,24 in.,"Dec 24, 2015",70 in.
Willamette Pass,64 in.,Oregon,6 in.,"Dec 26, 2015",76 in.
Mt. Bachelor,85 in.,Oregon,16 in.,"Jan 26, 2013",71 in.
Willamette Pass,45 in.,Oregon,3 in.,"Jan  8, 2009",27 in.
Willamette Pass,22 in.,Oregon,2 in.,"Jan 24, 2010",20 in.
Cooper Spur,27 in.,Oregon,10 in.,"Mar  9, 2009",61 in.
Mt. Bachelor,100 in.,Oregon,6 in.,"Jan 30, 2012",129 in.
Mt. Bachelor,108 in.,Oregon,2 in.,"Feb 22, 2009",65 in.
Mt. Bachelor,88 in.,Oregon,2 in.,"Feb 13, 2010",61 in.
Mt. Bachelor,50 in.,Oregon,3 in.,"Feb 27, 2015",35 in.
Mt. Bachelor,114 in.,Oregon,2 in.,"Jan 30, 2016",77 in.
Mt. Bachelor,108 in.,Oregon,5 in.,"Feb  3, 2016",82 in.
Cooper Spur,15 in.,Oregon,1 in.,"Apr  1, 2012",79 in.
Cooper Spur,15 in.,Oregon,1 in.,"Apr  2, 2012",80 in.
Mount Ashland,38 in.,Oregon,3 in.,"Feb 11, 2009",21 in.
Mt. Bachelor,56 in.,Oregon,7 in.,"Feb  3, 2014",121 in.
Willamette Pass,48 in.,Oregon,1 in.,"Mar 12, 2011",53 in.
Willamette Pass,50 in.,Oregon,6 in.,"Mar 19, 2011",59 in.
Anthony Lakes Mountain Resort,28 in.,Oregon,1 in.,"Jan  4, 2014",1 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,1 in.,"Jan  4, 2015",1 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,1 in.,"Jan  6, 2015",2 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,47 in.,Oregon,3 in.,"Jan  9, 2016",3 in.
Anthony Lakes Mountain Resort,47 in.,Oregon,5 in.,"Jan 14, 2016",8 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,61 in.,Oregon,3 in.,"Jan 10, 2009",18 in.
Anthony Lakes Mountain Resort,61 in.,Oregon,2 in.,"Jan 11, 2009",20 in.
Anthony Lakes Mountain Resort,43 in.,Oregon,8 in.,"Jan  8, 2010",32 in.
Anthony Lakes Mountain Resort,52 in.,Oregon,2 in.,"Jan 13, 2010",34 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 17, 2012",7 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,6 in.,"Jan  9, 2013",13 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,5 in.,"Jan 10, 2013",18 in.
Willamette Pass,72 in.,Oregon,6 in.,"Jan 18, 2016",29 in.
Willamette Pass,72 in.,Oregon,10 in.,"Jan 20, 2016",39 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Feb 17, 2011",9 in.
Willamette Pass,14 in.,Oregon,6 in.,"Jan 23, 2012",35 in.
Willamette Pass,42 in.,Oregon,3 in.,"Feb  7, 2013",48 in.
Mt. Bachelor,106 in.,Oregon,4 in.,"Feb 22, 2011",92 in.
Willamette Pass,26 in.,Oregon,12 in.,"Feb 20, 2014",70 in.
Willamette Pass,26 in.,Oregon,1 in.,"Mar  3, 2014",71 in.
Willamette Pass,70 in.,Oregon,4 in.,"Dec 28, 2015",80 in.
Willamette Pass,70 in.,Oregon,2 in.,"Dec 29, 2015",82 in.
Mt. Bachelor,86 in.,Oregon,21 in.,"Jan 27, 2013",92 in.
Willamette Pass,40 in.,Oregon,1 in.,"Jan  9, 2009",28 in.
Willamette Pass,22 in.,Oregon,8 in.,"Jan 25, 2010",28 in.
Willamette Pass,22 in.,Oregon,3 in.,"Jan 27, 2010",31 in.
Cooper Spur,32 in.,Oregon,5 in.,"Mar 12, 2009",66 in.
Cooper Spur,29 in.,Oregon,4 in.,"Mar 16, 2009",70 in.
Mt. Bachelor,101 in.,Oregon,8 in.,"Feb  1, 2012",137 in.
Mt. Bachelor,98 in.,Oregon,4 in.,"Feb 23, 2009",69 in.
Mt. Bachelor,88 in.,Oregon,1 in.,"Feb 14, 2010",62 in.
Mt. Bachelor,53 in.,Oregon,5 in.,"Feb 28, 2015",40 in.
Mt. Bachelor,113 in.,Oregon,1 in.,"Feb  4, 2016",83 in.
Mt. Bachelor,95 in.,Oregon,8 in.,"Feb 18, 2016",91 in.
Cooper Spur,0 in.,Oregon,8 in.,"Dec 18, 2012",88 in.
Cooper Spur,0 in.,Oregon,8 in.,"Dec 19, 2012",96 in.
Mount Ashland,42 in.,Oregon,4 in.,"Feb 12, 2009",25 in.
Mt. Bachelor,58 in.,Oregon,6 in.,"Feb  4, 2014",127 in.
Willamette Pass,50 in.,Oregon,7 in.,"Mar 20, 2011",66 in.
Willamette Pass,50 in.,Oregon,6 in.,"Mar 21, 2011",72 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,28 in.,Oregon,5 in.,"Jan  8, 2014",6 in.
